"","Web.ID","type","subtype","sqfoot","bedrooms","bathrooms","half.baths","price","status","last.update","Time.Viewed","Trimmed.Time","Success","Abandonment","Exterior","Floor","Interior"
"1","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",16,16,1,0,1,0,0
"2","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",2,2,0,0,1,0,0
"3","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",0,0,0,0,1,0,0
"4","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",1,1,0,0,1,0,0
"5","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",1,1,0,0,1,0,0
"6","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",0,0,0,1,1,0,0
"7","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",29,29,1,0,0,0,1
"8","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",4,4,1,0,0,0,1
"9","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",3,3,0,0,0,0,1
"10","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",2,2,0,0,0,0,1
"11","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",3,3,0,0,0,0,1
"12","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",3,3,0,0,0,0,1
"13","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",3,3,0,0,0,0,1
"14","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",3,3,0,0,0,0,1
"15","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",2,2,0,0,0,0,1
"16","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",2,2,0,0,0,0,1
"17","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",4,4,1,0,1,0,0
"18","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",2,2,0,0,1,0,0
"19","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",3,3,0,0,1,0,0
"20","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",2,2,0,0,1,0,0
"21","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",2,2,0,0,1,0,0
"22","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",2,2,0,0,1,0,0
"23","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",1,1,0,0,1,0,0
"24","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",0,0,0,1,1,0,0
"25","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",7,7,1,0,1,0,0
"26","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",9,9,1,0,1,0,0
"27","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",9,9,1,0,1,0,0
"28","F1410261","house","Single Family Detached",4115,3,4,0,1050000,"STACT","2014-07-09 155732",3,3,0,0,1,0,0
