University,SAT,Top10,Accept,SFRatio,Expenses,Grad
Harvard,1400,91,14,11,39.525,97
Princeton,1375,91,14,8,30.22,95
Yale,1375,95,19,11,43.514,96
Stanford,1360,90,20,12,36.45,93
MIT,1380,94,30,10,34.87,91
Duke,1315,90,30,12,31.585,95
Cal_Tech,1415,100,25,6,63.575,81
Dartmouth,1340,89,23,10,32.162,95
Brown,1310,89,22,13,22.704,94
Johns_Hopkins,1305,75,44,7,58.691,87
U_Chicago,1290,75,50,13,38.38,87
U_Penn,1285,80,36,11,27.553,90
Cornell,1280,83,33,13,21.864,90
Northwestern,1260,85,39,11,28.052,89
Columbia,1310,76,24,12,31.51,88
NotreDame,1255,81,42,13,15.122,94
U_Virginia,1225,77,44,14,13.349,92
Georgetown,1255,74,24,12,20.126,92
Carnegie_Mellon,1260,62,59,9,25.026,72
U_Michigan,1180,65,68,16,15.47,85
UC_Berkeley,1240,95,40,17,15.14,78
U_Wisconsin,1085,40,69,15,11.857,71
Penn_State,1081,38,54,18,10.185,80
Purdue,1005,28,90,19,9.066,69
Texas_A&M,1075,49,67,25,8.704,67
